id,child_id,child_first_name,child_last_name,start,end,type,method,amount,notes,tags
728,1,JOJO,,2022-09-17 08:35:00,2022-09-17 08:35:00,breast milk,bottle,140.0,,
726,1,JOJO,,2022-09-17 03:14:00,2022-09-17 03:50:00,formula,bottle,120.0,,
725,1,JOJO,,2022-09-16 22:04:00,2022-09-16 22:20:00,formula,bottle,100.0,,
724,1,JOJO,,2022-09-16 19:15:00,2022-09-16 19:58:00,formula,bottle,40.0,,
723,1,JOJO,,2022-09-16 15:45:00,2022-09-16 16:15:00,formula,bottle,150.0,,
722,1,JOJO,,2022-09-16 11:10:00,2022-09-16 11:32:00,formula,bottle,150.0,,
721,1,JOJO,,2022-09-16 06:38:00,2022-09-16 07:10:00,formula,bottle,120.0,,
720,1,JOJO,,2022-09-16 03:17:00,2022-09-16 03:40:00,breast milk,bottle,70.0,,
719,1,JOJO,,2022-09-15 22:40:00,2022-09-15 23:00:00,formula,bottle,130.0,,
718,1,JOJO,,2022-09-15 17:00:00,2022-09-15 17:40:00,formula,bottle,110.0,,
717,1,JOJO,,2022-09-15 12:54:00,2022-09-15 13:14:00,breast milk,bottle,140.0,,
716,1,JOJO,,2022-09-15 09:40:00,2022-09-15 10:00:00,breast milk,bottle,90.0,,
715,1,JOJO,,2022-09-15 07:13:00,2022-09-15 07:30:00,breast milk,bottle,60.0,,
714,1,JOJO,,2022-09-15 03:52:00,2022-09-15 04:15:00,formula,bottle,150.0,,
713,1,JOJO,,2022-09-14 23:12:00,2022-09-14 23:22:00,formula,bottle,120.0,,
712,1,JOJO,,2022-09-14 18:00:00,2022-09-14 18:07:00,breast milk,bottle,120.0,,
711,1,JOJO,,2022-09-14 13:55:00,2022-09-14 14:15:00,formula,bottle,110.0,,
710,1,JOJO,,2022-09-14 10:54:00,2022-09-14 10:54:00,formula,bottle,100.0,,
709,1,JOJO,,2022-09-14 07:30:00,2022-09-14 07:50:00,formula,bottle,90.0,,
708,1,JOJO,,2022-09-14 04:25:00,2022-09-14 04:36:00,formula,bottle,120.0,,
707,1,JOJO,,2022-09-14 00:16:00,2022-09-14 01:00:00,formula,bottle,80.0,,
706,1,JOJO,,2022-09-13 19:56:00,2022-09-13 19:58:00,formula,bottle,120.0,,
705,1,JOJO,,2022-09-13 16:25:00,2022-09-13 16:52:00,formula,bottle,120.0,,
704,1,JOJO,,2022-09-13 12:40:00,2022-09-13 13:00:00,formula,bottle,80.0,,
703,1,JOJO,,2022-09-13 09:20:00,2022-09-13 10:06:00,formula,bottle,80.0,,
702,1,JOJO,,2022-09-13 07:47:00,2022-09-13 07:47:00,breast milk,right breast,,,
701,1,JOJO,,2022-09-13 05:00:00,2022-09-13 05:30:00,formula,bottle,80.0,,
700,1,JOJO,,2022-09-13 03:10:00,2022-09-13 03:10:00,breast milk,left breast,,,
699,1,JOJO,,2022-09-12 23:22:00,2022-09-13 00:01:00,formula,bottle,110.0,,
698,1,JOJO,,2022-09-12 19:12:00,2022-09-12 19:17:00,formula,bottle,50.0,,
697,1,JOJO,,2022-09-12 15:15:00,2022-09-12 15:35:00,formula,bottle,120.0,,
696,1,JOJO,,2022-09-12 11:17:00,2022-09-12 11:45:00,formula,bottle,130.0,,
695,1,JOJO,,2022-09-12 08:22:00,2022-09-12 08:46:00,breast milk,bottle,120.0,,
694,1,JOJO,,2022-09-12 05:30:00,2022-09-12 06:08:00,breast milk,right breast,,,
693,1,JOJO,,2022-09-12 03:16:00,2022-09-12 03:17:00,breast milk,right breast,,,
692,1,JOJO,,2022-09-12 01:27:00,2022-09-12 01:27:00,breast milk,left breast,,,
691,1,JOJO,,2022-09-11 22:02:00,2022-09-11 22:13:00,formula,bottle,70.0,,
690,1,JOJO,,2022-09-11 17:51:00,2022-09-11 17:57:00,formula,bottle,70.0,,
689,1,JOJO,,2022-09-11 15:41:00,2022-09-11 16:22:00,formula,bottle,70.0,,
688,1,JOJO,,2022-09-11 11:51:00,2022-09-11 12:19:00,breast milk,bottle,150.0,,
687,1,JOJO,,2022-09-11 07:40:00,2022-09-11 09:38:00,breast milk,bottle,160.0,,
686,1,JOJO,,2022-09-11 04:24:00,2022-09-11 05:00:00,formula,bottle,90.0,,
685,1,JOJO,,2022-09-11 03:14:00,2022-09-11 03:17:00,breast milk,right breast,,,
684,1,JOJO,,2022-09-10 22:15:00,2022-09-10 22:54:00,formula,bottle,120.0,,
683,1,JOJO,,2022-09-10 17:33:00,2022-09-10 17:46:00,formula,bottle,150.0,,
